#SCHEME	GENUS	SPECIES
abaumannii	Acinetobacter	baumannii
citrobacter	Citrobacter	spp.
cjejuni	Campylobacter	jejuni
ecoli	Escherichia	coli
ecloace	Enterobacter	cloacae
efaecium	Enterococcus	faecium
koxytoca	Klebsiella	oxytoca
kpneumoniae	Klebsiella	pneumoniae
lmonocytogenes	Listeria	monocytogenes
lpneumophila	Legionella	pneumophila
mabscessus	Mycobacterium	abscessus
mycobacteria	Mycobacterium	
neisseria	Neisseria	spp.	
paeruginosa	Pseudomonas	aeruginosa
pputida	Pseudomonas	putida
proteus	Proteus	spp.
saureus	Staphylococcus	aureus
senterica	Salmonella	enterica
serratia	Serratia	spp.
smaltophilia	Stenotrophomonas	maltophilia
